name,type,start_time,duration,ack,address,read,description,,,
I2C,start,0.000934,0.0000005,,,,,,,
I2C,address,0.000976,0.000233,false,0x08,false,,,,
I2C 8-bit Address Display,i2c-address,0.000976,0.000233,,,,Setup Write to [0x10] + NAK,,,
I2C,stop,0.0012485,0.0000005,,,,,,,
I2C,start,0.002066,0.0000005,,,,,,,
I2C,address,0.002105,0.0002335,false,0x09,false,,,,
I2C 8-bit Address Display,i2c-address,0.002105,0.0002335,,,,Setup Write to [0x12] + NAK,,,
I2C,stop,0.0023775,0.0000005,,,,,,,
I2C,start,0.003066,0.0000005,,,,,,,
I2C,address,0.003105,0.000233,false,0x0A,false,,,,
I2C 8-bit Address Display,i2c-address,0.003105,0.000233,,,,Setup Write to [0x14] + NAK,,,
I2C,stop,0.003376,0.0000005,,,,,,,
I2C,start,0.0040655,0.0000005,,,,,,,
I2C,address,0.004104,0.0002325,false,0x0B,false,,,,
I2C 8-bit Address Display,i2c-address,0.004104,0.0002325,,,,Setup Write to [0x16] + NAK,,,
I2C,stop,0.0043755,0.0000005,,,,,,,
I2C,start,0.005066,0.0000005,,,,,,,
I2C,address,0.005105,0.000233,false,0x0C,false,,,,
I2C 8-bit Address Display,i2c-address,0.005105,0.000233,,,,Setup Write to [0x18] + NAK,,,
I2C,stop,0.005376,0.0000005,,,,,,,
I2C,start,0.0060655,0.0000005,,,,,,,
I2C,address,0.006104,0.0002325,false,0x0D,false,,,,
I2C 8-bit Address Display,i2c-address,0.006104,0.0002325,,,,Setup Write to [0x1A] + NAK,,,
I2C,stop,0.0063755,0.0000005,,,,,,,
I2C,start,0.007066,0.0000005,,,,,,,
I2C,address,0.007105,0.000234,false,0x0E,false,,,,
I2C 8-bit Address Display,i2c-address,0.007105,0.000234,,,,Setup Write to [0x1C] + NAK,,,
I2C,stop,0.0073785,0.0000005,,,,,,,
I2C,start,0.008065,0.0000005,,,,,,,
I2C,address,0.008104,0.0002325,false,0x0F,false,,,,
I2C 8-bit Address Display,i2c-address,0.008104,0.0002325,,,,Setup Write to [0x1E] + NAK,,,
I2C,stop,0.0083755,0.0000005,,,,,,,
I2C,start,0.009066,0.0000005,,,,,,,
I2C,address,0.009105,0.000232,false,0x10,false,,,,
I2C 8-bit Address Display,i2c-address,0.009105,0.000232,,,,Setup Write to [0x20] + NAK,,,
I2C,stop,0.009375,0.0000005,,,,,,,
I2C,start,0.010065,0.0000005,,,,,,,
I2C,address,0.010104,0.0002315,false,0x11,false,,,,
I2C 8-bit Address Display,i2c-address,0.010104,0.0002315,,,,Setup Write to [0x22] + NAK,,,
I2C,stop,0.0103745,0.0000005,,,,,,,
I2C,start,0.011066,0.0000005,,,,,,,
I2C,address,0.011105,0.000233,false,0x12,false,,,,
I2C 8-bit Address Display,i2c-address,0.011105,0.000233,,,,Setup Write to [0x24] + NAK,,,
I2C,stop,0.011376,0.0000005,,,,,,,
I2C,start,0.012065,0.0000005,,,,,,,
I2C,address,0.012104,0.0002325,false,0x13,false,,,,
I2C 8-bit Address Display,i2c-address,0.012104,0.0002325,,,,Setup Write to [0x26] + NAK,,,
I2C,stop,0.0123755,0.0000005,,,,,,,
I2C,start,0.013066,0.0000005,,,,,,,
I2C,address,0.013105,0.000233,false,0x14,false,,,,
I2C 8-bit Address Display,i2c-address,0.013105,0.000233,,,,Setup Write to [0x28] + NAK,,,
I2C,stop,0.013376,0.0000005,,,,,,,
I2C,start,0.014065,0.0000005,,,,,,,
I2C,address,0.014104,0.0002325,false,0x15,false,,,,
I2C 8-bit Address Display,i2c-address,0.014104,0.0002325,,,,Setup Write to [0x2A] + NAK,,,
I2C,stop,0.0143755,0.0000005,,,,,,,
I2C,start,0.015066,0.0000005,,,,,,,
I2C,address,0.015105,0.000234,false,0x16,false,,,,
I2C 8-bit Address Display,i2c-address,0.015105,0.000234,,,,Setup Write to [0x2C] + NAK,,,
I2C,stop,0.015378,0.0000005,,,,,,,
I2C,start,0.016065,0.0000005,,,,,,,
I2C,address,0.016104,0.0002325,false,0x17,false,,,,
I2C 8-bit Address Display,i2c-address,0.016104,0.0002325,,,,Setup Write to [0x2E] + NAK,,,
I2C,stop,0.016375,0.0000005,,,,,,,
I2C,start,0.017066,0.0000005,,,,,,,
I2C,address,0.017105,0.0002315,false,0x18,false,,,,
I2C 8-bit Address Display,i2c-address,0.017105,0.0002315,,,,Setup Write to [0x30] + NAK,,,
I2C,stop,0.017376,0.0000005,,,,,,,
I2C,start,0.018065,0.0000005,,,,,,,
I2C,address,0.018104,0.0002325,false,0x19,false,,,,
I2C 8-bit Address Display,i2c-address,0.018104,0.0002325,,,,Setup Write to [0x32] + NAK,,,
I2C,stop,0.0183755,0.0000005,,,,,,,
I2C,start,0.019066,0.0000005,,,,,,,
I2C,address,0.019105,0.0002325,false,0x1A,false,,,,
I2C 8-bit Address Display,i2c-address,0.019105,0.0002325,,,,Setup Write to [0x34] + NAK,,,
I2C,stop,0.019377,0.0000005,,,,,,,
I2C,start,0.020065,0.0000005,,,,,,,
I2C,address,0.0201035,0.000233,false,0x1B,false,,,,
I2C 8-bit Address Display,i2c-address,0.0201035,0.000233,,,,Setup Write to [0x36] + NAK,,,
I2C,stop,0.020375,0.0000005,,,,,,,
I2C,start,0.021066,0.0000005,,,,,,,
I2C,address,0.021105,0.0002325,false,0x1C,false,,,,
I2C 8-bit Address Display,i2c-address,0.021105,0.0002325,,,,Setup Write to [0x38] + NAK,,,
I2C,stop,0.021377,0.0000005,,,,,,,
I2C,start,0.022065,0.0000005,,,,,,,
I2C,address,0.0221035,0.000233,false,0x1D,false,,,,
I2C 8-bit Address Display,i2c-address,0.0221035,0.000233,,,,Setup Write to [0x3A] + NAK,,,
I2C,stop,0.022375,0.0000005,,,,,,,
I2C,start,0.0230655,0.0000005,,,,,,,
I2C,address,0.023105,0.0002315,false,0x1E,false,,,,
I2C 8-bit Address Display,i2c-address,0.023105,0.0002315,,,,Setup Write to [0x3C] + NAK,,,
I2C,stop,0.0233755,0.0000005,,,,,,,
I2C,start,0.024065,0.0000005,,,,,,,
I2C,address,0.0241035,0.000232,false,0x1F,false,,,,
I2C 8-bit Address Display,i2c-address,0.0241035,0.000232,,,,Setup Write to [0x3E] + NAK,,,
I2C,stop,0.024374,0.0000005,,,,,,,
I2C,start,0.0250655,0.0000005,,,,,,,
I2C,address,0.025105,0.0002315,false,0x20,false,,,,
I2C 8-bit Address Display,i2c-address,0.025105,0.0002315,,,,Setup Write to [0x40] + NAK,,,
I2C,stop,0.025375,0.0000005,,,,,,,
I2C,start,0.026065,0.0000005,,,,,,,
I2C,address,0.0261035,0.000232,false,0x21,false,,,,
I2C 8-bit Address Display,i2c-address,0.0261035,0.000232,,,,Setup Write to [0x42] + NAK,,,
I2C,stop,0.026374,0.0000005,,,,,,,
I2C,start,0.0270655,0.0000005,,,,,,,
I2C,address,0.027105,0.0002325,false,0x22,false,,,,
I2C 8-bit Address Display,i2c-address,0.027105,0.0002325,,,,Setup Write to [0x44] + NAK,,,
I2C,stop,0.027376,0.0000005,,,,,,,
I2C,start,0.028065,0.0000005,,,,,,,
I2C,address,0.0281035,0.000233,false,0x23,false,,,,
I2C 8-bit Address Display,i2c-address,0.0281035,0.000233,,,,Setup Write to [0x46] + NAK,,,
I2C,stop,0.028375,0.0000005,,,,,,,
I2C,start,0.0290655,0.0000005,,,,,,,
I2C,address,0.029105,0.0002325,false,0x24,false,,,,
I2C 8-bit Address Display,i2c-address,0.029105,0.0002325,,,,Setup Write to [0x48] + NAK,,,
I2C,stop,0.029376,0.0000005,,,,,,,
I2C,start,0.030065,0.0000005,,,,,,,
I2C,address,0.0301035,0.000233,false,0x25,false,,,,
I2C 8-bit Address Display,i2c-address,0.0301035,0.000233,,,,Setup Write to [0x4A] + NAK,,,
I2C,stop,0.030375,0.0000005,,,,,,,
I2C,start,0.0310655,0.0000005,,,,,,,
I2C,address,0.031105,0.0002335,false,0x26,false,,,,
I2C 8-bit Address Display,i2c-address,0.031105,0.0002335,,,,Setup Write to [0x4C] + NAK,,,
I2C,stop,0.031378,0.0000005,,,,,,,
I2C,start,0.032065,0.0000005,,,,,,,
I2C,address,0.0321035,0.0002325,false,0x27,false,,,,
I2C 8-bit Address Display,i2c-address,0.0321035,0.0002325,,,,Setup Write to [0x4E] + NAK,,,
I2C,stop,0.032375,0.0000005,,,,,,,
I2C,start,0.0330655,0.0000005,,,,,,,
I2C,address,0.033105,0.0002315,false,0x28,false,,,,
I2C 8-bit Address Display,i2c-address,0.033105,0.0002315,,,,Setup Write to [0x50] + NAK,,,
I2C,stop,0.033376,0.0000005,,,,,,,
I2C,start,0.034065,0.0000005,,,,,,,
I2C,address,0.0341035,0.000233,true,0x29,false,,,,
I2C 8-bit Address Display,i2c-address,0.0341035,0.000233,,,,Setup Write to [0x52] + ACK,,,
I2C,stop,0.034375,0.0000005,,,,,,,
I2C,start,0.0350655,0.0000005,,,,,,,
I2C,address,0.035105,0.0002335,false,0x2A,false,,,,
I2C 8-bit Address Display,i2c-address,0.035105,0.0002335,,,,Setup Write to [0x54] + NAK,,,
I2C,stop,0.035378,0.0000005,,,,,,,
I2C,start,0.036065,0.0000005,,,,,,,
I2C,address,0.0361035,0.0002325,false,0x2B,false,,,,
I2C 8-bit Address Display,i2c-address,0.0361035,0.0002325,,,,Setup Write to [0x56] + NAK,,,
I2C,stop,0.036375,0.0000005,,,,,,,
I2C,start,0.0370655,0.0000005,,,,,,,
I2C,address,0.037105,0.0002325,false,0x2C,false,,,,
I2C 8-bit Address Display,i2c-address,0.037105,0.0002325,,,,Setup Write to [0x58] + NAK,,,
I2C,stop,0.037377,0.0000005,,,,,,,
I2C,start,0.038065,0.0000005,,,,,,,
I2C,address,0.0381035,0.0002325,false,0x2D,false,,,,
I2C 8-bit Address Display,i2c-address,0.0381035,0.0002325,,,,Setup Write to [0x5A] + NAK,,,
I2C,stop,0.038375,0.0000005,,,,,,,
I2C,start,0.0390655,0.0000005,,,,,,,
I2C,address,0.0391045,0.0002315,false,0x2E,false,,,,
I2C 8-bit Address Display,i2c-address,0.0391045,0.0002315,,,,Setup Write to [0x5C] + NAK,,,
I2C,stop,0.039375,0.0000005,,,,,,,
I2C,start,0.040065,0.0000005,,,,,,,
I2C,address,0.0401035,0.000232,false,0x2F,false,,,,
I2C 8-bit Address Display,i2c-address,0.0401035,0.000232,,,,Setup Write to [0x5E] + NAK,,,
I2C,stop,0.040374,0.0000005,,,,,,,
I2C,start,0.0410655,0.0000005,,,,,,,
I2C,address,0.0411045,0.000232,false,0x30,false,,,,
I2C 8-bit Address Display,i2c-address,0.0411045,0.000232,,,,Setup Write to [0x60] + NAK,,,
I2C,stop,0.041376,0.0000005,,,,,,,
I2C,start,0.042065,0.0000005,,,,,,,
I2C,address,0.0421035,0.0002325,false,0x31,false,,,,
I2C 8-bit Address Display,i2c-address,0.0421035,0.0002325,,,,Setup Write to [0x62] + NAK,,,
I2C,stop,0.042375,0.0000005,,,,,,,
I2C,start,0.0430655,0.0000005,,,,,,,
I2C,address,0.0431045,0.000233,false,0x32,false,,,,
I2C 8-bit Address Display,i2c-address,0.0431045,0.000233,,,,Setup Write to [0x64] + NAK,,,
I2C,stop,0.043377,0.0000005,,,,,,,
I2C,start,0.044065,0.0000005,,,,,,,
I2C,address,0.0441035,0.0002325,false,0x33,false,,,,
I2C 8-bit Address Display,i2c-address,0.0441035,0.0002325,,,,Setup Write to [0x66] + NAK,,,
I2C,stop,0.044375,0.0000005,,,,,,,
I2C,start,0.0450655,0.0000005,,,,,,,
I2C,address,0.0451045,0.000233,false,0x34,false,,,,
I2C 8-bit Address Display,i2c-address,0.0451045,0.000233,,,,Setup Write to [0x68] + NAK,,,
I2C,stop,0.045377,0.0000005,,,,,,,
I2C,start,0.046065,0.0000005,,,,,,,
I2C,address,0.0461035,0.0002325,false,0x35,false,,,,
I2C 8-bit Address Display,i2c-address,0.0461035,0.0002325,,,,Setup Write to [0x6A] + NAK,,,
I2C,stop,0.046375,0.0000005,,,,,,,
I2C,start,0.0470655,0.0000005,,,,,,,
I2C,address,0.0471045,0.0002315,false,0x36,false,,,,
I2C 8-bit Address Display,i2c-address,0.0471045,0.0002315,,,,Setup Write to [0x6C] + NAK,,,
I2C,stop,0.047375,0.0000005,,,,,,,
I2C,start,0.048065,0.0000005,,,,,,,
I2C,address,0.0481035,0.000232,false,0x37,false,,,,
I2C 8-bit Address Display,i2c-address,0.0481035,0.000232,,,,Setup Write to [0x6E] + NAK,,,
I2C,stop,0.0483735,0.0000005,,,,,,,
I2C,start,0.0490655,0.0000005,,,,,,,
I2C,address,0.0491045,0.000233,false,0x38,false,,,,
I2C 8-bit Address Display,i2c-address,0.0491045,0.000233,,,,Setup Write to [0x70] + NAK,,,
I2C,stop,0.049377,0.0000005,,,,,,,
I2C,start,0.050065,0.0000005,,,,,,,
I2C,address,0.0501035,0.0002325,false,0x39,false,,,,
I2C 8-bit Address Display,i2c-address,0.0501035,0.0002325,,,,Setup Write to [0x72] + NAK,,,
I2C,stop,0.050375,0.0000005,,,,,,,
I2C,start,0.0510655,0.0000005,,,,,,,
I2C,address,0.0511045,0.0002315,false,0x3A,false,,,,
I2C 8-bit Address Display,i2c-address,0.0511045,0.0002315,,,,Setup Write to [0x74] + NAK,,,
I2C,stop,0.051375,0.0000005,,,,,,,
I2C,start,0.052065,0.0000005,,,,,,,
I2C,address,0.0521035,0.000232,false,0x3B,false,,,,
I2C 8-bit Address Display,i2c-address,0.0521035,0.000232,,,,Setup Write to [0x76] + NAK,,,
I2C,stop,0.0523735,0.0000005,,,,,,,
I2C,start,0.0530655,0.0000005,,,,,,,
I2C,address,0.0531045,0.0002315,false,0x3C,false,,,,
I2C 8-bit Address Display,i2c-address,0.0531045,0.0002315,,,,Setup Write to [0x78] + NAK,,,
I2C,stop,0.053375,0.0000005,,,,,,,
I2C,start,0.054065,0.0000005,,,,,,,
I2C,address,0.0541035,0.0002305,false,0x3D,false,,,,
I2C 8-bit Address Display,i2c-address,0.0541035,0.0002305,,,,Setup Write to [0x7A] + NAK,,,
I2C,stop,0.0543735,0.0000005,,,,,,,
I2C,start,0.0550655,0.0000005,,,,,,,
I2C,address,0.0551045,0.0002315,false,0x3E,false,,,,
I2C 8-bit Address Display,i2c-address,0.0551045,0.0002315,,,,Setup Write to [0x7C] + NAK,,,
I2C,stop,0.055375,0.0000005,,,,,,,
I2C,start,0.056065,0.0000005,,,,,,,
I2C,address,0.0561035,0.0002315,false,0x3F,false,,,,
I2C 8-bit Address Display,i2c-address,0.0561035,0.0002315,,,,Setup Write to [0x7E] + NAK,,,
I2C,stop,0.0563745,0.0000005,,,,,,,
I2C,start,0.0570655,0.0000005,,,,,,,
I2C,address,0.0571045,0.000232,false,0x40,false,,,,
I2C 8-bit Address Display,i2c-address,0.0571045,0.000232,,,,Setup Write to [0x80] + NAK,,,
I2C,stop,0.0573745,0.0000005,,,,,,,
I2C,start,0.0580645,0.0000005,,,,,,,
I2C,address,0.058104,0.000233,false,0x41,false,,,,
I2C 8-bit Address Display,i2c-address,0.058104,0.000233,,,,Setup Write to [0x82] + NAK,,,
I2C,stop,0.0583765,0.0000005,,,,,,,
I2C,start,0.0590655,0.0000005,,,,,,,
I2C,address,0.0591045,0.000233,false,0x42,false,,,,
I2C 8-bit Address Display,i2c-address,0.0591045,0.000233,,,,Setup Write to [0x84] + NAK,,,
I2C,stop,0.0593755,0.0000005,,,,,,,
I2C,start,0.0600645,0.0000005,,,,,,,
I2C,address,0.060104,0.000233,false,0x43,false,,,,
I2C 8-bit Address Display,i2c-address,0.060104,0.000233,,,,Setup Write to [0x86] + NAK,,,
I2C,stop,0.0603765,0.0000005,,,,,,,
I2C,start,0.0610655,0.0000005,,,,,,,
I2C,address,0.0611045,0.000233,false,0x44,false,,,,
I2C 8-bit Address Display,i2c-address,0.0611045,0.000233,,,,Setup Write to [0x88] + NAK,,,
I2C,stop,0.0613755,0.0000005,,,,,,,
I2C,start,0.0620645,0.0000005,,,,,,,
I2C,address,0.062104,0.000233,false,0x45,false,,,,
I2C 8-bit Address Display,i2c-address,0.062104,0.000233,,,,Setup Write to [0x8A] + NAK,,,
I2C,stop,0.0623765,0.0000005,,,,,,,
I2C,start,0.0630655,0.0000005,,,,,,,
I2C,address,0.0631045,0.000234,false,0x46,false,,,,
I2C 8-bit Address Display,i2c-address,0.0631045,0.000234,,,,Setup Write to [0x8C] + NAK,,,
I2C,stop,0.0633775,0.0000005,,,,,,,
I2C,start,0.0640645,0.0000005,,,,,,,
I2C,address,0.0641035,0.0002325,false,0x47,false,,,,
I2C 8-bit Address Display,i2c-address,0.0641035,0.0002325,,,,Setup Write to [0x8E] + NAK,,,
I2C,stop,0.0643745,0.0000005,,,,,,,
I2C,start,0.0650655,0.0000005,,,,,,,
I2C,address,0.0651045,0.0002315,false,0x48,false,,,,
I2C 8-bit Address Display,i2c-address,0.0651045,0.0002315,,,,Setup Write to [0x90] + NAK,,,
I2C,stop,0.0653755,0.0000005,,,,,,,
I2C,start,0.0660645,0.0000005,,,,,,,
I2C,address,0.0661035,0.0002335,false,0x49,false,,,,
I2C 8-bit Address Display,i2c-address,0.0661035,0.0002335,,,,Setup Write to [0x92] + NAK,,,
I2C,stop,0.0663765,0.0000005,,,,,,,
I2C,start,0.0670655,0.0000005,,,,,,,
I2C,address,0.0671045,0.0002325,false,0x4A,false,,,,
I2C 8-bit Address Display,i2c-address,0.0671045,0.0002325,,,,Setup Write to [0x94] + NAK,,,
I2C,stop,0.0673765,0.0000005,,,,,,,
I2C,start,0.0680645,0.0000005,,,,,,,
I2C,address,0.0681035,0.0002325,false,0x4B,false,,,,
I2C 8-bit Address Display,i2c-address,0.0681035,0.0002325,,,,Setup Write to [0x96] + NAK,,,
I2C,stop,0.0683745,0.0000005,,,,,,,
I2C,start,0.0690655,0.0000005,,,,,,,
I2C,address,0.0691045,0.0002325,false,0x4C,false,,,,
I2C 8-bit Address Display,i2c-address,0.0691045,0.0002325,,,,Setup Write to [0x98] + NAK,,,
I2C,stop,0.0693765,0.0000005,,,,,,,
I2C,start,0.0700645,0.0000005,,,,,,,
I2C,address,0.0701035,0.0002325,false,0x4D,false,,,,
I2C 8-bit Address Display,i2c-address,0.0701035,0.0002325,,,,Setup Write to [0x9A] + NAK,,,
I2C,stop,0.0703745,0.0000005,,,,,,,
I2C,start,0.071065,0.0000005,,,,,,,
I2C,address,0.0711045,0.0002315,false,0x4E,false,,,,
I2C 8-bit Address Display,i2c-address,0.0711045,0.0002315,,,,Setup Write to [0x9C] + NAK,,,
I2C,stop,0.071375,0.0000005,,,,,,,
I2C,start,0.0720645,0.0000005,,,,,,,
I2C,address,0.0721035,0.0002335,false,0x4F,false,,,,
I2C 8-bit Address Display,i2c-address,0.0721035,0.0002335,,,,Setup Write to [0x9E] + NAK,,,
I2C,stop,0.0723755,0.0000005,,,,,,,
I2C,start,0.073065,0.0000005,,,,,,,
I2C,address,0.0731045,0.0002315,false,0x50,false,,,,
I2C 8-bit Address Display,i2c-address,0.0731045,0.0002315,,,,Setup Write to [0xA0] + NAK,,,
I2C,stop,0.0733755,0.0000005,,,,,,,
I2C,start,0.0740645,0.0000005,,,,,,,
I2C,address,0.0741035,0.0002335,false,0x51,false,,,,
I2C 8-bit Address Display,i2c-address,0.0741035,0.0002335,,,,Setup Write to [0xA2] + NAK,,,
I2C,stop,0.0743765,0.0000005,,,,,,,
I2C,start,0.075065,0.0000005,,,,,,,
I2C,address,0.0751045,0.0002325,false,0x52,false,,,,
I2C 8-bit Address Display,i2c-address,0.0751045,0.0002325,,,,Setup Write to [0xA4] + NAK,,,
I2C,stop,0.0753765,0.0000005,,,,,,,
I2C,start,0.0760645,0.0000005,,,,,,,
I2C,address,0.0761035,0.0002325,false,0x53,false,,,,
I2C 8-bit Address Display,i2c-address,0.0761035,0.0002325,,,,Setup Write to [0xA6] + NAK,,,
I2C,stop,0.0763745,0.0000005,,,,,,,
I2C,start,0.077065,0.0000005,,,,,,,
I2C,address,0.0771045,0.0002325,false,0x54,false,,,,
I2C 8-bit Address Display,i2c-address,0.0771045,0.0002325,,,,Setup Write to [0xA8] + NAK,,,
I2C,stop,0.0773765,0.0000005,,,,,,,
I2C,start,0.0780645,0.0000005,,,,,,,
I2C,address,0.0781035,0.000232,false,0x55,false,,,,
I2C 8-bit Address Display,i2c-address,0.0781035,0.000232,,,,Setup Write to [0xAA] + NAK,,,
I2C,stop,0.0783745,0.0000005,,,,,,,
I2C,start,0.079065,0.0000005,,,,,,,
I2C,address,0.079104,0.000232,false,0x56,false,,,,
I2C 8-bit Address Display,i2c-address,0.079104,0.000232,,,,Setup Write to [0xAC] + NAK,,,
I2C,stop,0.0793745,0.0000005,,,,,,,
I2C,start,0.0800645,0.0000005,,,,,,,
I2C,address,0.0801035,0.0002335,false,0x57,false,,,,
I2C 8-bit Address Display,i2c-address,0.0801035,0.0002335,,,,Setup Write to [0xAE] + NAK,,,
I2C,stop,0.0803755,0.0000005,,,,,,,
I2C,start,0.081065,0.0000005,,,,,,,
I2C,address,0.081104,0.000233,false,0x58,false,,,,
I2C 8-bit Address Display,i2c-address,0.081104,0.000233,,,,Setup Write to [0xB0] + NAK,,,
I2C,stop,0.0813765,0.0000005,,,,,,,
I2C,start,0.0820645,0.0000005,,,,,,,
I2C,address,0.0821035,0.000232,false,0x59,false,,,,
I2C 8-bit Address Display,i2c-address,0.0821035,0.000232,,,,Setup Write to [0xB2] + NAK,,,
I2C,stop,0.0823745,0.0000005,,,,,,,
I2C,start,0.083065,0.0000005,,,,,,,
I2C,address,0.083104,0.000232,false,0x5A,false,,,,
I2C 8-bit Address Display,i2c-address,0.083104,0.000232,,,,Setup Write to [0xB4] + NAK,,,
I2C,stop,0.0833745,0.0000005,,,,,,,
I2C,start,0.0840645,0.0000005,,,,,,,
I2C,address,0.0841035,0.000233,false,0x5B,false,,,,
I2C 8-bit Address Display,i2c-address,0.0841035,0.000233,,,,Setup Write to [0xB6] + NAK,,,
I2C,stop,0.0843755,0.0000005,,,,,,,
I2C,start,0.085065,0.0000005,,,,,,,
I2C,address,0.085104,0.000232,false,0x5C,false,,,,
I2C 8-bit Address Display,i2c-address,0.085104,0.000232,,,,Setup Write to [0xB8] + NAK,,,
I2C,stop,0.0853745,0.0000005,,,,,,,
I2C,start,0.0860645,0.0000005,,,,,,,
I2C,address,0.0861035,0.000233,false,0x5D,false,,,,
I2C 8-bit Address Display,i2c-address,0.0861035,0.000233,,,,Setup Write to [0xBA] + NAK,,,
I2C,stop,0.0863755,0.0000005,,,,,,,
I2C,start,0.087065,0.0000005,,,,,,,
I2C,address,0.087104,0.0002315,false,0x5E,false,,,,
I2C 8-bit Address Display,i2c-address,0.087104,0.0002315,,,,Setup Write to [0xBC] + NAK,,,
